hash,path,is_app,points,style_points,time,lines_added,lines_removed,files,message,timestamp
33f5a3c8f62f784934631bd28c547a20b1f89545,.gtm/junit: coffeetest.testorderingcoffeefromkitchenallgood.app,True,0,0,18,0,0,1,ex07,1616016367
dc19d0420561cf0175257039bf35deed2c6b928d,ex/ex03bookshelf,False,14.7,1.0,780,6,4,1,first,1613079481
26abbf77e39340038a011fc45ef70f8bb004a92b,.gtm/junit: all in ex05mysticorbs.app,True,0,0,60,0,0,1,ex05,1614538204
03062dc1bddd1c4f7433fefa74079520759db3ab,.gtm/junit: spaceoventest.app,True,0,0,9,0,0,1,lahendus,1614708791
d2024466706de8b697dd55ee19ec8a2defeff239,ex/ex12computerbuilder,False,0,0,180,2,3,3,ex12.,1618839732
2d358cc6104ea9808d26fa399aa7345d7c68baab,.gtm/junit: comparabletest.testcomparemagicovensnumberoforbs.app,True,0,0,71,0,0,1,ex05_part2,1614348112
e515278837da9a7c73923fde0b7a76b4ad67042a,pr/pr04stock,False,0,0,1030,1,1,4,test push,1613486452
5e06bd9bce80b04b101fb0e14920444f5fe75ad6,pr/pr06shelter,False,0,0,180,6,3,1,animals,1614603690
e06735c15c0ae70511269dc1df78703c80a5c1dd,.gtm/junit: all in ex06files (2).app,True,0,0,8,0,0,1,ex05 fix,1618492623
33f5a3c8f62f784934631bd28c547a20b1f89545,.gtm/junit: all in ex05mysticorbs.app,True,0,0,644,0,0,1,ex05,1614559954
e3d78b6a60a45ccc2406913340709ccdd8e2cdb8,ex/ex11computerstore,False,20.0,1.0,300,4,10,2,pr02datastructures v2.0,1618345838
9e03963810356656f577aa42d0b430a656f94095,.gtm/junit: tests.taketoomuchresources.app,True,0,0,132,0,0,1,1,1615756527
9e03963810356656f577aa42d0b430a656f94095,ex/ex11computerstore,False,20.0,1.0,60,32,0,1,1,1618009055
b18d18bf475b322c8a8d40dd13e7ed0d4de56b6c,ex/ex05mysticorbs,False,10.8,1.0,24,0,0,1,"first tasks, push 4",1617197199
8fff7b3a00cbeba735f4d32a5f1d69f3ec715b4b,pr/pr03ring,False,0,0,180,1,0,1,constructor error,1612878003
079515b37f4d26af417a48c7fbcdfd1bda8b12ce,ex/ex06files,False,0,0,315,5,0,3,pr && ex,1614582766
8fff7b3a00cbeba735f4d32a5f1d69f3ec715b4b,.gtm/application: stockdemo.app,True,0,0,8,0,0,1,initial push,1613648080
b18d18bf475b322c8a8d40dd13e7ed0d4de56b6c,.gtm/application: webbrowser.app,True,0,0,460,0,0,1,attempt number 1,1612775053
